,0
0,serpent
1,venin
2,vert
3,marron
4,terre
5,fourbe
6,vicieux
7,dents
8,venin
9,même
10,temps
11,dirait
12,dinosaure
13,parce
14,que
15,est
16,écaillé
17,fin
18,toutes
19,tailles
20,boa
21,britney
22,spears
23,avait
24,boa
25,jaune
26,blan
27,serpents
28,mordent
29,serpent
30,serrent
31,serpent
32,vert
33,toutes
34,couleurs
35,rouge
36,arc-en-ciel
37,comme
38,mygales
39,fait
40,peur
41,loin
42,mais
43,fin
44,compte
45,est
46,juste
47,grosse
48,araignée
49,serpent
50,n'a
51,pas
52,pattes
53,mais
54,déplace
55,magique
56,eve
57,adam
58,pomme
59,compagnie
60,serpent
61,était
62,grand
63,pharmacie
64,botox
65,est
66,venin
