,0
0,piscine
1,eau
2,soleil
3,margelle
4,dimension
5,nager
6,plonger
7,couler
8,se_noyer
9,sous_l'eau
10,sous-marin
11,vacances
12,été
13,soleil
14,joie
15,plaisir
16,bien-être
17,famille
18,cocktail
19,apéro
20,picoler
21,fête
22,bleu
23,filtre_à_charbon
24,infiltration_naturelle
25,extérieur
26,intérieur
27,couverte
28,découverte
29,chauffée
30,non_chauffée
31,liner
32,mosaïque
33,carrelé
34,filtrer
35,côte_d'azur
36,privé
37,publique
38,de_domaine
39,gonflable
40,dur
41,enterrer
42,autoporté
43,lait_d'ânesse
44,cléopâtre
45,flipper_le_dauphin
46,baleine
47,background
