,0
0,mot
1,pas
2,marche
3,marchons
4,campagne
5,montagne
6,arbre
7,courir
8,marathon
9,semi-marathon
10,poids
11,léger
12,karaté
13,judo
14,sport
15,uniforme
16,enfance
17,militaire
18,agité
19,repartir
20,voyage
21,pérou
22,clara
23,tour
24,monde
25,vélo
26,bicyclette
27,réparer
28,mécanique
29,outil
30,facilitation
31,graphique
32,dessiner
33,bd
34,bande-dessinée
35,poster
36,affiche
37,afficher
38,militer
39,militantisme
40,engager
41,engagement
42,valeur
43,volonté
44,pendant
45,thé
46,biscotte
47,gâteau
48,faire
49,cuisine
50,jardiner
51,main
52,terre
53,soleil
54,chaleur
55,simplicité
56,tente
57,bivouac
58,repartir
59,mer
60,lac
61,baigner
62,chaleur
63,maillot
64,bain
65,naturiste
66,sans
67,maillot
68,bain
69,poil
70,bronzage
71,crème
72,solaire
73,huile
74,bronzage
