,0
0,royaume
1,roi
2,reine
3,cavalier
4,valet
5,as
6,dix
7,neuf
8,huit
9,sept
10,six
11,cinq
12,quatre
13,trois
14,deux
15,un
16,jeu_de_cartes
17,jeu_de_société
18,jeu_en_famille
19,grand-mère
20,enfant
21,parents
22,royauté
23,sarkozy
24,politique
25,misère_dans_le_monde
26,non_respect_des_droits_des_citoyens
27,royal
28,lit
29,héritier
30,enfant_non_désiré
31,enfant_désiré
32,lit_à_baldaquin
33,dorure
34,louis_xiv
35,marie-antoinette
36,luxe
37,calme
38,volupté
39,bleu
40,lys
41,conte
42,légende
43,france
44,angleterre
45,espagne
46,suède
47,danemark
48,retour_en_arrière
49,constitution
50,mille_sept_cent_quatre-vingt-neuf
51,abolition
52,droits_de_l'homme_et_du_citoyen
53,décapitation
54,constitution
55,napoléon
56,politique
57,hitler
58,empereur
59,histoire
60,histoire_de_france
61,réfléchir
62,monter_les_échelons
