,0
0,piscine
1,mari
2,enfant
3,mal_dos
4,opération
5,vertèbre
6,bleu
7,marque_sol
8,impolitesse
9,plongeoir
10,bord_piscine
11,piscine_enfants
12,piscine_plonger
13,piscine_où_sont_amoureux
14,champignon_magique
15,toboggan
16,escalier
17,kiosque
18,gourmandise
19,miniardise
20,croissant
21,pain_chocolat
22,sandwich
23,bonbon
24,guichet
25,tourniquet
26,grille
27,parking
28,voiture
29,verdure
30,volley
31,tennis
32,haie_couper
33,haie_pierre
34,défaire
35,refaire
36,démolir
37,reconstruire
38,bananier
39,géraniums
40,décoration
41,gazon
42,seviette
43,crème_solaire
44,boisson
45,nourriture
46,faire_attention
47,grain_sable
48,enfant
49,cri
50,joie
51,peine
52,vague
53,toboggan_petits
54,béton
55,horaires_ouverture
56,prix_enfants
57,prix_adultes
58,carte_abonnement
59,attente
60,vélo
61,marche
62,bon_corps
63,bon_tête
64,prendre_temps_soi
65,ne_pas_courir_côté_piscine
66,escalier
67,chiffres_noirs_plongeoirs
68,rencontre
69,copain
70,plaisir
71,tranquilité
72,passer_bon_temps
73,après_pluis_beau_temps
74,après_beau_temps_pluie
