,0
0,bleu
1,alain
2,delon
3,piscine
4,nager
5,liberté
6,fraîcheur
7,froid
8,chaud
9,température
10,thermostat
11,corps
12,corps
13,sain
14,plonger
15,respiration
16,expirer
17,inspirer
18,souffle
19,âme
20,bleu
21,petits
22,pois
23,incertitude
24,questionnement
25,rencontre
26,amour
27,love
28,life
29,improbable
30,incrédule
31,pupitre
32,enseignement
33,montrer
34,exemple
35,inceste
36,acompte
37,assumer
38,représenter
39,engager
40,croire
41,questionner
42,cogito
43,ergo
44,sum
45,descartes
46,socrate
47,aristote
48,archimède
49,newton
50,pomme
51,tombe
52,arbre
53,idée
54,inventivité
55,création
56,assumer
57,représenter
58,encore
59,fois
60,réécrire
61,écrire
62,effacer
63,temps
