,0
0,adam
1,eve
2,jardin
3,jésus_christ
4,malin
5,intelligent
6,chercher
7,s'interroger
8,interpeller
9,croire
10,enfant
11,charlotte_fraise
12,chocolat
13,bon_goût
14,bourgeoisie
15,façon_bourgeoise
16,luxe
17,calme
18,volupté
19,charles_baudelaire
20,fleurs
21,fleurs_de_mal
22,pourriture
23,pourri_
24,biologique
25,végétal
26,lagune
27,renault
28,citröen
29,logo
30,blanc
31,blanche_neige
32,sept_nains
33,improbable
34,incrédule
35,signal
36,alarme
37,sos
38,HELLP_syndrome
39,moi-même
40,mes_amis
41,mes_amours
42,mes_emmerdes
43,télévision
44,radio
45,radio.1
46,encore_une_fois
47,voix
48,émission
49,qui
50,quoi
51,comment
52,questionnement
53,journaliste
54,bbc
55,news
56,newsletter
57,abonnement
58,engagement
59,élection
60,voler
61,vol_
62,oiseau
63,nain
64,poussin
65,jaune
66,orange
67,dessin
68,peinture
69,couette
70,silence
71,calme.1
72,volupté.1
73,soldat
74,soldat_plomb
75,mort
76,revival
77,incroyable
